column,description,dtype,non_null,missing,example
domain_criticality,Target domain criticality,float64,1038,0,0.7
perturbation_concordance,Perturbation concordance score,float64,1038,0,0.42944800000000005
mechanistic_maturity,Overall mechanistic maturity,float64,1038,0,0.70426
tumor_expression,Tumor-relevant expression proxy,float64,1038,0,0.5964700000000001
normal_tissue_burden,Normal tissue expression burden,float64,1038,0,0.307608
expression_variability,Expression variability across tissues,float64,1038,0,0.31894
tumor_specificity,Tumor specificity proxy,float64,1038,0,0.588862
therapeutic_window,Therapeutic window proxy,float64,1038,0,0.49318
pub_velocity_1y,Publication velocity (1-year),float64,1038,0,1.0
pub_acceleration,Publication acceleration,float64,1038,0,0.6150798668183926
pub_concentration,Publication concentration index,float64,1038,0,1.0
mechanistic_study_fraction,Fraction of mechanistic studies,float64,1038,0,0.3883761116028154
translational_study_fraction,Fraction of translational studies,float64,1038,0,0.6150798668183926
human_study_fraction,Fraction of human/clinical studies,float64,1038,0,0.6375858726345514
gwas_association_count,,float64,1038,0,0.2
has_known_ligands,"1 if known ligands exist, 0 otherwise",int64,1038,0,1
tractability,Target tractability proxy,float64,1038,0,0.99
polypharmacology_proxy,Polypharmacology risk proxy,float64,1038,0,0.95
cosmic_census_member,,int64,1038,0,1
drugbank_interaction_count,,float64,1038,0,0.0
disgenet_cancer_count,,float64,1038,0,0.0
has_real_ot_data,"1 if real Open Targets API data used, 0 if curated fallback",int64,1038,0,1
has_real_pubmed_data,"1 if real PubMed API data used, 0 if curated fallback",int64,1038,0,1
has_real_string_data,,int64,1038,0,1
has_real_cbio_data,,int64,1038,0,1
has_real_chembl_data,,int64,1038,0,1
has_real_uniprot_data,,int64,1038,0,1
has_real_hpa_data,,int64,1038,0,0
GCS,Genetic Causality Score,float64,1038,0,0.553849562968648
DS,Dependency Score,float64,1038,0,0.69872
SS,Selectivity Score,float64,1038,0,0.43021999999999994
CSI,Context Specificity Index,float64,1038,0,0.58638
NCS,Network Centrality Score,float64,1038,0,0.6441589999999999
PRS,Pathway Redundancy Score,float64,1038,0,0.95
BS,Bottleneck Score,float64,1038,0,0.05
FAS,Functional Annotation Score,float64,1038,0,0.6253436000000001
TSS_exp,Tumor Specificity Score (expression),float64,1038,0,0.588862
SWP,Safety Window Proxy,float64,1038,0,0.307608
PCS,Perturbation Concordance Score,float64,1038,0,0.42944800000000005
AFS,Alteration Frequency Score,float64,339,699,0.200656
CABS,Co-alteration Burden Score,float64,339,699,0.23559999999999998
MMS,Mechanistic Maturity Score,float64,1038,0,0.70426
PMS,Publication Momentum Score,float64,1038,0,0.7112723901041008
CDS,Causal Dependency Score (higher-order),float64,1038,0,0.5477044688905944
TDS,Target Dominance Score (higher-order),float64,1038,0,0.33269600000000005
BFS,Biomarker Fidelity Score (higher-order),float64,1038,0,0.452172
MCS,Mechanistic Coherence Score (higher-order),float64,1038,0,0.6522929
TWS,Therapeutic Window Score (higher-order),float64,1038,0,0.6475804000000001
EMS,Evidence Momentum Score (higher-order),float64,1038,0,0.6986549733636787
BIOLOGY_SCORE,Overall biology score (weighted combination of CDS/TDS/BFS/MCS/TWS/EMS),float64,1038,0,0.5596649797826707
