mode,outer_fold,stage,fold,role,nct_id
temporal,0,outer,0,train,NCT00129376
temporal,0,outer,0,train,NCT00219557
temporal,0,outer,0,train,NCT00473512
temporal,0,outer,0,train,NCT00369681
temporal,0,outer,0,train,NCT00411671
temporal,0,outer,0,train,NCT00124657
temporal,0,outer,0,train,NCT00113230
temporal,0,outer,0,train,NCT00493467
temporal,0,outer,0,train,NCT01131078
temporal,0,outer,0,train,NCT00468585
temporal,0,outer,0,train,NCT00201240
temporal,0,outer,0,train,NCT00457743
temporal,0,outer,0,train,NCT00244985
temporal,0,outer,0,train,NCT00288015
temporal,0,outer,0,train,NCT00038610
temporal,0,outer,0,train,NCT01534637
temporal,0,outer,0,train,NCT00515073
temporal,0,outer,0,train,NCT00179673
temporal,0,outer,0,train,NCT00112827
temporal,0,outer,0,train,NCT00081861
temporal,0,outer,0,train,NCT00318370
temporal,0,outer,0,train,NCT00284154
temporal,0,outer,0,train,NCT00068380
temporal,0,outer,0,train,NCT00112489
temporal,0,outer,0,train,NCT00096018
temporal,0,outer,0,train,NCT00332163
temporal,0,outer,0,train,NCT00179309
temporal,0,outer,0,train,NCT00114140
temporal,0,outer,0,train,NCT00047879
temporal,0,outer,0,train,NCT00344773
temporal,0,outer,0,train,NCT00357149
temporal,0,outer,0,train,NCT00412243
temporal,0,outer,0,train,NCT00324870
temporal,0,outer,0,train,NCT00096941
temporal,0,outer,0,train,NCT00483405
temporal,0,outer,0,train,NCT00512096
temporal,0,outer,0,train,NCT00125359
temporal,0,outer,0,train,NCT00469898
temporal,0,outer,0,train,NCT00381706
temporal,0,outer,0,train,NCT00234052
temporal,0,outer,0,train,NCT00193609
temporal,0,outer,0,train,NCT00612716
temporal,0,outer,0,train,NCT00423293
temporal,0,outer,0,train,NCT00524121
temporal,0,outer,0,train,NCT00413283
temporal,0,outer,0,train,NCT00023673
temporal,0,outer,0,train,NCT00432094
temporal,0,outer,0,train,NCT00072566
temporal,0,outer,0,train,NCT00062010
temporal,0,outer,0,train,NCT00242762
temporal,0,outer,0,train,NCT00003270
temporal,0,outer,0,train,NCT00045110
temporal,0,outer,0,train,NCT00258362
temporal,0,outer,0,train,NCT00305682
temporal,0,outer,0,train,NCT00473746
temporal,0,outer,0,train,NCT00126503
temporal,0,outer,0,train,NCT00243191
temporal,0,outer,0,train,NCT00183885
temporal,0,outer,0,train,NCT00058422
temporal,0,outer,0,train,NCT00346645
temporal,0,outer,0,train,NCT00314262
temporal,0,outer,0,train,NCT00408070
temporal,0,outer,0,train,NCT00063154
temporal,0,outer,0,train,NCT00245102
temporal,0,outer,0,train,NCT00103194
temporal,0,outer,0,train,NCT00940342
temporal,0,outer,0,train,NCT00376961
temporal,0,outer,0,train,NCT00089635
temporal,0,outer,0,train,NCT00253370
temporal,0,outer,0,train,NCT00400569
temporal,0,outer,0,train,NCT00374868
temporal,0,outer,0,train,NCT00095680
temporal,0,outer,0,train,NCT00094835
temporal,0,outer,0,train,NCT00134082
temporal,0,outer,0,train,NCT00408603
temporal,0,outer,0,train,NCT00130442
temporal,0,outer,0,train,NCT00003631
temporal,0,outer,0,train,NCT00495170
temporal,0,outer,0,train,NCT00364286
temporal,0,outer,0,train,NCT00510653
temporal,0,outer,0,train,NCT00002601
temporal,0,outer,0,validation,NCT01286077
temporal,0,outer,0,validation,NCT00923936
temporal,0,outer,0,validation,NCT00679367
temporal,0,outer,0,validation,NCT01093586
temporal,0,outer,0,validation,NCT00859937
temporal,0,outer,0,validation,NCT00577122
temporal,0,outer,0,validation,NCT00767819
temporal,0,outer,0,validation,NCT00712881
temporal,0,outer,0,validation,NCT00859222
temporal,0,outer,0,validation,NCT00744900
temporal,0,outer,0,validation,NCT01053949
temporal,0,outer,0,validation,NCT00460109
temporal,0,outer,0,validation,NCT00723099
temporal,0,outer,0,validation,NCT00578864
temporal,0,outer,0,validation,NCT00691301
temporal,0,outer,0,validation,NCT00598507
temporal,0,outer,0,validation,NCT00731211
temporal,0,outer,0,validation,NCT00372775
temporal,0,outer,0,validation,NCT00403403
temporal,0,outer,0,validation,NCT00679783
temporal,0,outer,0,validation,NCT00667394
temporal,0,outer,0,validation,NCT00948922
temporal,0,outer,0,validation,NCT00968253
temporal,0,outer,0,validation,NCT00881296
temporal,0,outer,0,validation,NCT00687297
temporal,0,outer,0,validation,NCT00567359
temporal,0,outer,0,validation,NCT01004003
temporal,0,outer,0,validation,NCT01088529
temporal,0,outer,0,validation,NCT00720356
temporal,0,outer,0,validation,NCT00439231
temporal,0,outer,0,validation,NCT00787761
temporal,0,outer,0,validation,NCT00520403
temporal,0,outer,0,validation,NCT00602771
temporal,0,outer,0,validation,NCT00436644
temporal,0,outer,0,validation,NCT00550771
temporal,0,outer,0,validation,NCT00409006
temporal,0,outer,0,validation,NCT00867321
temporal,0,outer,0,validation,NCT00463060
temporal,0,outer,0,validation,NCT00942825
temporal,0,outer,0,validation,NCT00921115
temporal,0,outer,0,validation,NCT00742625
temporal,0,outer,0,validation,NCT00847015
temporal,0,outer,0,validation,NCT00459108
temporal,0,outer,0,validation,NCT00790855
temporal,0,outer,0,validation,NCT00885755
temporal,0,outer,0,validation,NCT00924326
temporal,0,outer,0,validation,NCT00824746
temporal,0,outer,0,validation,NCT00796549
temporal,0,outer,0,validation,NCT01095094
temporal,0,outer,0,validation,NCT00813293
temporal,0,outer,0,validation,NCT00661193
temporal,0,outer,0,validation,NCT00537381
temporal,0,outer,0,validation,NCT00775593
temporal,0,outer,0,validation,NCT00459875
temporal,0,outer,0,validation,NCT00432172
temporal,0,outer,0,validation,NCT00633594
temporal,0,outer,0,validation,NCT00826241
temporal,0,outer,0,validation,NCT00517595
temporal,0,outer,0,validation,NCT00875667
temporal,0,outer,0,validation,NCT00778830
temporal,0,outer,0,validation,NCT00372619
temporal,0,outer,0,validation,NCT00887575
temporal,0,outer,0,validation,NCT00900757
temporal,0,outer,0,validation,NCT00711828
temporal,0,outer,0,validation,NCT00545792
temporal,0,outer,0,validation,NCT01203267
temporal,0,outer,0,validation,NCT00737243
temporal,0,outer,0,validation,NCT00862784
temporal,0,outer,0,validation,NCT00815308
temporal,0,outer,0,validation,NCT01698879
temporal,0,outer,0,validation,NCT00959647
temporal,0,outer,0,validation,NCT01004250
temporal,0,outer,0,validation,NCT00986674
temporal,0,outer,0,validation,NCT00881751
temporal,0,outer,0,validation,NCT00800839
temporal,0,outer,0,validation,NCT00517829
temporal,0,outer,0,validation,NCT00537095
temporal,0,outer,0,validation,NCT00532129
temporal,0,outer,0,validation,NCT00553202
temporal,0,outer,0,validation,NCT00709761
temporal,0,outer,0,validation,NCT00378703
temporal,0,outer,0,validation,NCT00821327
temporal,0,outer,0,validation,NCT00516841
temporal,0,outer,0,validation,NCT00861913
temporal,0,outer,0,validation,NCT00462423
temporal,0,outer,0,validation,NCT00705250
temporal,0,outer,0,validation,NCT00905060
temporal,0,outer,0,validation,NCT00439517
temporal,0,outer,0,validation,NCT00599313
temporal,0,outer,0,validation,NCT00617409
temporal,0,outer,0,validation,NCT01020006
temporal,0,outer,0,validation,NCT00867087
temporal,0,outer,0,validation,NCT00551460
temporal,0,outer,0,validation,NCT00992225
temporal,0,outer,0,validation,NCT00550615
temporal,0,outer,0,validation,NCT00814788
temporal,0,outer,0,validation,NCT00580333
temporal,0,outer,0,validation,NCT00866047
temporal,0,outer,0,validation,NCT00796978
temporal,0,outer,0,validation,NCT00436566
temporal,0,outer,0,validation,NCT00727441
temporal,0,outer,0,validation,NCT01016769
temporal,0,outer,0,validation,NCT00911859
temporal,0,outer,0,validation,NCT00465179
temporal,0,outer,0,validation,NCT00558896
temporal,0,outer,0,validation,NCT00879359
temporal,0,outer,0,validation,NCT00864032
temporal,0,outer,0,validation,NCT00383149
temporal,0,outer,0,validation,NCT00529763
temporal,0,outer,0,validation,NCT00470704
temporal,0,outer,0,validation,NCT00520936
temporal,0,outer,0,validation,NCT00821886
temporal,0,outer,0,validation,NCT00798720
temporal,0,outer,0,validation,NCT00784303
temporal,0,outer,0,validation,NCT00820170
temporal,0,outer,0,validation,NCT00741260
temporal,0,outer,0,validation,NCT00612586
temporal,0,outer,0,validation,NCT00632359
temporal,0,outer,0,validation,NCT00700882
temporal,0,outer,0,validation,NCT00794950
temporal,0,outer,0,validation,NCT00642018
temporal,0,outer,0,validation,NCT00699491
temporal,0,outer,0,validation,NCT00652366
temporal,0,outer,0,validation,NCT00281957
temporal,0,outer,0,validation,NCT00535873
temporal,0,outer,0,validation,NCT01246557
temporal,0,outer,0,validation,NCT00710970
temporal,0,outer,0,validation,NCT00952731
temporal,0,outer,0,validation,NCT00454805
temporal,0,outer,0,validation,NCT00717756
temporal,0,outer,0,validation,NCT00822120
temporal,0,outer,0,validation,NCT00467142
temporal,0,outer,0,validation,NCT00788957
temporal,0,outer,0,validation,NCT00942877
temporal,0,outer,0,validation,NCT01027910
temporal,0,outer,0,validation,NCT00410813
temporal,0,outer,0,validation,NCT00439270
temporal,0,outer,0,validation,NCT00534417
temporal,0,outer,0,validation,NCT00900627
temporal,0,outer,0,validation,NCT00599170
temporal,0,outer,0,validation,NCT00679341
temporal,0,inner,0,train,NCT02006667
temporal,0,inner,0,train,NCT00287872
temporal,0,inner,0,train,NCT00089999
temporal,0,inner,0,train,NCT00071006
temporal,0,inner,0,train,NCT01996332
temporal,0,inner,0,train,NCT00004092
temporal,0,inner,0,train,NCT00085566
temporal,0,inner,0,train,NCT00774046
temporal,0,inner,0,train,NCT00185588
temporal,0,inner,0,train,NCT00859469
temporal,0,inner,0,train,NCT00004888
temporal,0,inner,0,train,NCT00216021
temporal,0,inner,0,train,NCT00562978
temporal,0,inner,0,train,NCT00444678
temporal,0,inner,0,train,NCT00368355
temporal,0,inner,0,train,NCT00499343
temporal,0,inner,0,train,NCT00438880
temporal,0,inner,0,train,NCT00039130
temporal,0,inner,0,train,NCT00057837
temporal,0,inner,0,train,NCT00890656
temporal,0,inner,0,train,NCT00066677
temporal,0,inner,0,train,NCT00129376
temporal,0,inner,0,train,NCT00038610
temporal,0,inner,0,train,NCT00515073
temporal,0,inner,0,train,NCT00112827
temporal,0,inner,0,train,NCT00081861
temporal,0,inner,0,train,NCT00068380
temporal,0,inner,0,train,NCT00096018
temporal,0,inner,0,train,NCT00047879
temporal,0,inner,0,train,NCT00357149
temporal,0,inner,0,train,NCT00512096
temporal,0,inner,0,train,NCT00469898
temporal,0,inner,0,train,NCT00193609
temporal,0,inner,0,train,NCT00612716
temporal,0,inner,0,train,NCT00023673
temporal,0,inner,0,train,NCT00072566
temporal,0,inner,0,train,NCT00062010
temporal,0,inner,0,train,NCT00242762
temporal,0,inner,0,train,NCT00003270
temporal,0,inner,0,train,NCT00045110
temporal,0,inner,0,train,NCT00183885
temporal,0,inner,0,train,NCT00058422
temporal,0,inner,0,train,NCT00063154
temporal,0,inner,0,train,NCT00940342
temporal,0,inner,0,train,NCT00089635
temporal,0,inner,0,train,NCT00095680
temporal,0,inner,0,train,NCT00003631
temporal,0,inner,0,train,NCT00510653
temporal,0,inner,0,train,NCT00002601
temporal,0,inner,0,validation,NCT00108953
temporal,0,inner,0,validation,NCT00111839
temporal,0,inner,0,validation,NCT00176605
temporal,0,inner,0,validation,NCT00611351
temporal,0,inner,0,validation,NCT00126672
temporal,0,inner,0,validation,NCT00216203
temporal,0,inner,0,validation,NCT00103207
temporal,0,inner,0,validation,NCT00166439
temporal,0,inner,0,validation,NCT00586495
temporal,0,inner,0,validation,NCT00271609
temporal,0,inner,0,validation,NCT00119262
temporal,0,inner,0,validation,NCT00182689
temporal,0,inner,0,validation,NCT00161213
temporal,0,inner,0,validation,NCT00137423
temporal,0,inner,0,validation,NCT00267696
temporal,0,inner,0,validation,NCT00271505
temporal,0,inner,0,validation,NCT00269152
temporal,0,inner,0,validation,NCT02280252
temporal,0,inner,0,validation,NCT00118144
temporal,0,inner,0,validation,NCT00238121
temporal,0,inner,0,validation,NCT00117351
temporal,0,inner,0,validation,NCT00309842
temporal,0,inner,0,validation,NCT00219557
temporal,0,inner,0,validation,NCT00473512
temporal,0,inner,0,validation,NCT00124657
temporal,0,inner,0,validation,NCT00113230
temporal,0,inner,0,validation,NCT01131078
temporal,0,inner,0,validation,NCT00468585
temporal,0,inner,0,validation,NCT00201240
temporal,0,inner,0,validation,NCT00457743
temporal,0,inner,0,validation,NCT00244985
temporal,0,inner,0,validation,NCT00288015
temporal,0,inner,0,validation,NCT00179673
temporal,0,inner,0,validation,NCT00112489
temporal,0,inner,0,validation,NCT00179309
temporal,0,inner,0,validation,NCT00114140
temporal,0,inner,0,validation,NCT00096941
temporal,0,inner,0,validation,NCT00125359
temporal,0,inner,0,validation,NCT00234052
temporal,0,inner,0,validation,NCT00258362
temporal,0,inner,0,validation,NCT00305682
temporal,0,inner,0,validation,NCT00126503
temporal,0,inner,0,validation,NCT00245102
temporal,0,inner,0,validation,NCT00103194
temporal,0,inner,0,validation,NCT00253370
temporal,0,inner,0,validation,NCT00094835
temporal,0,inner,0,validation,NCT00134082
temporal,0,inner,0,validation,NCT00130442
temporal,0,inner,1,train,NCT00108953
temporal,0,inner,1,train,NCT00111839
temporal,0,inner,1,train,NCT00176605
temporal,0,inner,1,train,NCT00611351
temporal,0,inner,1,train,NCT02006667
temporal,0,inner,1,train,NCT00126672
temporal,0,inner,1,train,NCT00216203
temporal,0,inner,1,train,NCT00287872
temporal,0,inner,1,train,NCT00089999
temporal,0,inner,1,train,NCT00071006
temporal,0,inner,1,train,NCT00103207
temporal,0,inner,1,train,NCT01996332
temporal,0,inner,1,train,NCT00166439
temporal,0,inner,1,train,NCT00004092
temporal,0,inner,1,train,NCT00586495
temporal,0,inner,1,train,NCT00271609
temporal,0,inner,1,train,NCT00085566
temporal,0,inner,1,train,NCT00119262
temporal,0,inner,1,train,NCT00182689
temporal,0,inner,1,train,NCT00161213
temporal,0,inner,1,train,NCT00137423
temporal,0,inner,1,train,NCT00267696
temporal,0,inner,1,train,NCT00774046
temporal,0,inner,1,train,NCT00185588
temporal,0,inner,1,train,NCT00859469
temporal,0,inner,1,train,NCT00271505
temporal,0,inner,1,train,NCT00004888
temporal,0,inner,1,train,NCT00216021
temporal,0,inner,1,train,NCT00269152
temporal,0,inner,1,train,NCT02280252
temporal,0,inner,1,train,NCT00562978
temporal,0,inner,1,train,NCT00444678
temporal,0,inner,1,train,NCT00368355
temporal,0,inner,1,train,NCT00118144
temporal,0,inner,1,train,NCT00238121
temporal,0,inner,1,train,NCT00499343
temporal,0,inner,1,train,NCT00438880
temporal,0,inner,1,train,NCT00039130
temporal,0,inner,1,train,NCT00117351
temporal,0,inner,1,train,NCT00309842
temporal,0,inner,1,train,NCT00057837
temporal,0,inner,1,train,NCT00890656
temporal,0,inner,1,train,NCT00066677
temporal,0,inner,1,train,NCT00129376
temporal,0,inner,1,train,NCT00219557
temporal,0,inner,1,train,NCT00473512
temporal,0,inner,1,train,NCT00124657
temporal,0,inner,1,train,NCT00113230
temporal,0,inner,1,train,NCT01131078
temporal,0,inner,1,train,NCT00468585
temporal,0,inner,1,train,NCT00201240
temporal,0,inner,1,train,NCT00457743
temporal,0,inner,1,train,NCT00244985
temporal,0,inner,1,train,NCT00288015
temporal,0,inner,1,train,NCT00038610
temporal,0,inner,1,train,NCT00515073
temporal,0,inner,1,train,NCT00179673
temporal,0,inner,1,train,NCT00112827
temporal,0,inner,1,train,NCT00081861
temporal,0,inner,1,train,NCT00068380
temporal,0,inner,1,train,NCT00112489
temporal,0,inner,1,train,NCT00096018
temporal,0,inner,1,train,NCT00179309
temporal,0,inner,1,train,NCT00114140
temporal,0,inner,1,train,NCT00047879
temporal,0,inner,1,train,NCT00357149
temporal,0,inner,1,train,NCT00096941
temporal,0,inner,1,train,NCT00512096
temporal,0,inner,1,train,NCT00125359
temporal,0,inner,1,train,NCT00469898
temporal,0,inner,1,train,NCT00234052
temporal,0,inner,1,train,NCT00193609
temporal,0,inner,1,train,NCT00612716
temporal,0,inner,1,train,NCT00023673
temporal,0,inner,1,train,NCT00072566
temporal,0,inner,1,train,NCT00062010
temporal,0,inner,1,train,NCT00242762
temporal,0,inner,1,train,NCT00003270
temporal,0,inner,1,train,NCT00045110
temporal,0,inner,1,train,NCT00258362
temporal,0,inner,1,train,NCT00305682
temporal,0,inner,1,train,NCT00126503
temporal,0,inner,1,train,NCT00183885
temporal,0,inner,1,train,NCT00058422
temporal,0,inner,1,train,NCT00063154
temporal,0,inner,1,train,NCT00245102
temporal,0,inner,1,train,NCT00103194
temporal,0,inner,1,train,NCT00940342
temporal,0,inner,1,train,NCT00089635
temporal,0,inner,1,train,NCT00253370
temporal,0,inner,1,train,NCT00095680
temporal,0,inner,1,train,NCT00094835
temporal,0,inner,1,train,NCT00134082
temporal,0,inner,1,train,NCT00130442
temporal,0,inner,1,train,NCT00003631
temporal,0,inner,1,train,NCT00510653
temporal,0,inner,1,train,NCT00002601
temporal,0,inner,1,validation,NCT00301964
temporal,0,inner,1,validation,NCT00399529
temporal,0,inner,1,validation,NCT00335829
temporal,0,inner,1,validation,NCT00494481
temporal,0,inner,1,validation,NCT00361231
temporal,0,inner,1,validation,NCT01135498
temporal,0,inner,1,validation,NCT00305877
temporal,0,inner,1,validation,NCT00390611
temporal,0,inner,1,validation,NCT00409565
temporal,0,inner,1,validation,NCT00039195
temporal,0,inner,1,validation,NCT00515411
temporal,0,inner,1,validation,NCT00371254
temporal,0,inner,1,validation,NCT00672594
temporal,0,inner,1,validation,NCT00313560
temporal,0,inner,1,validation,NCT00360360
temporal,0,inner,1,validation,NCT00345540
temporal,0,inner,1,validation,NCT00387959
temporal,0,inner,1,validation,NCT00579826
temporal,0,inner,1,validation,NCT00427557
temporal,0,inner,1,validation,NCT00323869
temporal,0,inner,1,validation,NCT00398086
temporal,0,inner,1,validation,NCT00369681
temporal,0,inner,1,validation,NCT00411671
temporal,0,inner,1,validation,NCT00493467
temporal,0,inner,1,validation,NCT01534637
temporal,0,inner,1,validation,NCT00318370
temporal,0,inner,1,validation,NCT00284154
temporal,0,inner,1,validation,NCT00332163
temporal,0,inner,1,validation,NCT00344773
temporal,0,inner,1,validation,NCT00412243
temporal,0,inner,1,validation,NCT00324870
temporal,0,inner,1,validation,NCT00483405
temporal,0,inner,1,validation,NCT00381706
temporal,0,inner,1,validation,NCT00423293
temporal,0,inner,1,validation,NCT00524121
temporal,0,inner,1,validation,NCT00413283
temporal,0,inner,1,validation,NCT00432094
temporal,0,inner,1,validation,NCT00473746
temporal,0,inner,1,validation,NCT00243191
temporal,0,inner,1,validation,NCT00346645
temporal,0,inner,1,validation,NCT00314262
temporal,0,inner,1,validation,NCT00408070
temporal,0,inner,1,validation,NCT00376961
temporal,0,inner,1,validation,NCT00400569
temporal,0,inner,1,validation,NCT00374868
temporal,0,inner,1,validation,NCT00408603
temporal,0,inner,1,validation,NCT00495170
temporal,0,inner,1,validation,NCT00364286
temporal,1,outer,1,train,NCT00108953
temporal,1,outer,1,train,NCT01286077
temporal,1,outer,1,train,NCT00111839
temporal,1,outer,1,train,NCT00176605
temporal,1,outer,1,train,NCT00611351
temporal,1,outer,1,train,NCT00923936
temporal,1,outer,1,train,NCT02006667
temporal,1,outer,1,train,NCT00679367
temporal,1,outer,1,train,NCT00301964
temporal,1,outer,1,train,NCT01093586
temporal,1,outer,1,train,NCT00399529
temporal,1,outer,1,train,NCT00859937
temporal,1,outer,1,train,NCT00335829
temporal,1,outer,1,train,NCT00494481
temporal,1,outer,1,train,NCT00577122
temporal,1,outer,1,train,NCT00767819
temporal,1,outer,1,train,NCT00712881
temporal,1,outer,1,train,NCT00859222
temporal,1,outer,1,train,NCT00126672
temporal,1,outer,1,train,NCT00216203
temporal,1,outer,1,train,NCT00361231
temporal,1,outer,1,train,NCT00287872
temporal,1,outer,1,train,NCT00744900
temporal,1,outer,1,train,NCT01053949
temporal,1,outer,1,train,NCT01135498
temporal,1,outer,1,train,NCT00460109
temporal,1,outer,1,train,NCT00723099
temporal,1,outer,1,train,NCT00089999
temporal,1,outer,1,train,NCT00578864
temporal,1,outer,1,train,NCT00071006
temporal,1,outer,1,train,NCT00103207
temporal,1,outer,1,train,NCT00305877
temporal,1,outer,1,train,NCT01996332
temporal,1,outer,1,train,NCT00166439
temporal,1,outer,1,train,NCT00691301
temporal,1,outer,1,train,NCT00598507
temporal,1,outer,1,train,NCT00390611
temporal,1,outer,1,train,NCT00409565
temporal,1,outer,1,train,NCT00731211
temporal,1,outer,1,train,NCT00004092
temporal,1,outer,1,train,NCT00586495
temporal,1,outer,1,train,NCT00039195
temporal,1,outer,1,train,NCT00372775
temporal,1,outer,1,train,NCT00515411
temporal,1,outer,1,train,NCT00271609
temporal,1,outer,1,train,NCT00371254
temporal,1,outer,1,train,NCT00403403
temporal,1,outer,1,train,NCT00679783
temporal,1,outer,1,train,NCT00667394
temporal,1,outer,1,train,NCT00085566
temporal,1,outer,1,train,NCT00948922
temporal,1,outer,1,train,NCT00968253
temporal,1,outer,1,train,NCT00119262
temporal,1,outer,1,train,NCT00672594
temporal,1,outer,1,train,NCT00182689
temporal,1,outer,1,train,NCT00313560
temporal,1,outer,1,train,NCT00360360
temporal,1,outer,1,train,NCT00161213
temporal,1,outer,1,train,NCT00137423
temporal,1,outer,1,train,NCT00881296
temporal,1,outer,1,train,NCT00345540
temporal,1,outer,1,train,NCT00387959
temporal,1,outer,1,train,NCT00267696
temporal,1,outer,1,train,NCT00687297
temporal,1,outer,1,train,NCT00567359
temporal,1,outer,1,train,NCT00774046
temporal,1,outer,1,train,NCT01004003
temporal,1,outer,1,train,NCT01088529
temporal,1,outer,1,train,NCT00185588
temporal,1,outer,1,train,NCT00720356
temporal,1,outer,1,train,NCT00439231
temporal,1,outer,1,train,NCT00787761
temporal,1,outer,1,train,NCT00859469
temporal,1,outer,1,train,NCT00271505
temporal,1,outer,1,train,NCT00520403
temporal,1,outer,1,train,NCT00004888
temporal,1,outer,1,train,NCT00216021
temporal,1,outer,1,train,NCT00602771
temporal,1,outer,1,train,NCT00269152
temporal,1,outer,1,train,NCT00436644
temporal,1,outer,1,train,NCT02280252
temporal,1,outer,1,train,NCT00550771
temporal,1,outer,1,train,NCT00409006
temporal,1,outer,1,train,NCT00867321
temporal,1,outer,1,train,NCT00562978
temporal,1,outer,1,train,NCT00444678
temporal,1,outer,1,train,NCT00463060
temporal,1,outer,1,train,NCT00942825
temporal,1,outer,1,train,NCT00368355
temporal,1,outer,1,train,NCT00921115
temporal,1,outer,1,train,NCT00742625
temporal,1,outer,1,train,NCT00847015
temporal,1,outer,1,train,NCT00459108
temporal,1,outer,1,train,NCT00118144
temporal,1,outer,1,train,NCT00238121
temporal,1,outer,1,train,NCT00790855
temporal,1,outer,1,train,NCT00579826
temporal,1,outer,1,train,NCT00885755
temporal,1,outer,1,train,NCT00924326
temporal,1,outer,1,train,NCT00824746
temporal,1,outer,1,train,NCT00499343
temporal,1,outer,1,train,NCT00796549
temporal,1,outer,1,train,NCT00438880
temporal,1,outer,1,train,NCT01095094
temporal,1,outer,1,train,NCT00813293
temporal,1,outer,1,train,NCT00661193
temporal,1,outer,1,train,NCT00039130
temporal,1,outer,1,train,NCT00537381
temporal,1,outer,1,train,NCT00775593
temporal,1,outer,1,train,NCT00117351
temporal,1,outer,1,train,NCT00459875
temporal,1,outer,1,train,NCT00309842
temporal,1,outer,1,train,NCT00057837
temporal,1,outer,1,train,NCT00427557
temporal,1,outer,1,train,NCT00323869
temporal,1,outer,1,train,NCT00432172
temporal,1,outer,1,train,NCT00890656
temporal,1,outer,1,train,NCT00066677
temporal,1,outer,1,train,NCT00633594
temporal,1,outer,1,train,NCT00398086
temporal,1,outer,1,train,NCT00129376
temporal,1,outer,1,train,NCT00826241
temporal,1,outer,1,train,NCT00517595
temporal,1,outer,1,train,NCT00219557
temporal,1,outer,1,train,NCT00875667
temporal,1,outer,1,train,NCT00473512
temporal,1,outer,1,train,NCT00369681
temporal,1,outer,1,train,NCT00778830
temporal,1,outer,1,train,NCT00372619
temporal,1,outer,1,train,NCT00411671
temporal,1,outer,1,train,NCT00887575
temporal,1,outer,1,train,NCT00900757
temporal,1,outer,1,train,NCT00124657
temporal,1,outer,1,train,NCT00711828
temporal,1,outer,1,train,NCT00113230
temporal,1,outer,1,train,NCT00545792
temporal,1,outer,1,train,NCT01203267
temporal,1,outer,1,train,NCT00493467
temporal,1,outer,1,train,NCT01131078
temporal,1,outer,1,train,NCT00468585
temporal,1,outer,1,train,NCT00737243
temporal,1,outer,1,train,NCT00201240
temporal,1,outer,1,train,NCT00862784
temporal,1,outer,1,train,NCT00457743
temporal,1,outer,1,train,NCT00815308
temporal,1,outer,1,train,NCT00244985
temporal,1,outer,1,train,NCT00288015
temporal,1,outer,1,train,NCT01698879
temporal,1,outer,1,train,NCT00959647
temporal,1,outer,1,train,NCT01004250
temporal,1,outer,1,train,NCT00986674
temporal,1,outer,1,train,NCT00038610
temporal,1,outer,1,train,NCT00881751
temporal,1,outer,1,train,NCT00800839
temporal,1,outer,1,train,NCT00517829
temporal,1,outer,1,train,NCT00537095
temporal,1,outer,1,train,NCT01534637
