mode,fold,role,nct_id,year
temporal,0,train,NCT00129376,2003
temporal,0,train,NCT00219557,2005
temporal,0,train,NCT00473512,2005
temporal,0,train,NCT00369681,2006
temporal,0,train,NCT00411671,2006
temporal,0,train,NCT00124657,2005
temporal,0,train,NCT00113230,2005
temporal,0,train,NCT00493467,2006
temporal,0,train,NCT01131078,2005
temporal,0,train,NCT00468585,2005
temporal,0,train,NCT00201240,2005
temporal,0,train,NCT00457743,2005
temporal,0,train,NCT00244985,2005
temporal,0,train,NCT00288015,2005
temporal,0,train,NCT00038610,2001
temporal,0,train,NCT01534637,2006
temporal,0,train,NCT00515073,2001
temporal,0,train,NCT00179673,2005
temporal,0,train,NCT00112827,2004
temporal,0,train,NCT00081861,2004
temporal,0,train,NCT00318370,2006
temporal,0,train,NCT00284154,2006
temporal,0,train,NCT00068380,2004
temporal,0,train,NCT00112489,2005
temporal,0,train,NCT00096018,2002
temporal,0,train,NCT00332163,2006
temporal,0,train,NCT00179309,2005
temporal,0,train,NCT00114140,2005
temporal,0,train,NCT00047879,2002
temporal,0,train,NCT00344773,2006
temporal,0,train,NCT00357149,2003
temporal,0,train,NCT00412243,2006
temporal,0,train,NCT00324870,2006
temporal,0,train,NCT00096941,2005
temporal,0,train,NCT00483405,2006
temporal,0,train,NCT00512096,1999
temporal,0,train,NCT00125359,2005
temporal,0,train,NCT00469898,2003
temporal,0,train,NCT00381706,2006
temporal,0,train,NCT00234052,2005
temporal,0,train,NCT00193609,2004
temporal,0,train,NCT00612716,1999
temporal,0,train,NCT00423293,2006
temporal,0,train,NCT00524121,2006
temporal,0,train,NCT00413283,2006
temporal,0,train,NCT00023673,2001
temporal,0,train,NCT00432094,2006
temporal,0,train,NCT00072566,2003
temporal,0,train,NCT00062010,2004
temporal,0,train,NCT00242762,2003
temporal,0,train,NCT00003270,1997
temporal,0,train,NCT00045110,2002
temporal,0,train,NCT00258362,2005
temporal,0,train,NCT00305682,2005
temporal,0,train,NCT00473746,2006
temporal,0,train,NCT00126503,2005
temporal,0,train,NCT00243191,2006
temporal,0,train,NCT00183885,2004
temporal,0,train,NCT00058422,2003
temporal,0,train,NCT00346645,2006
temporal,0,train,NCT00314262,2006
temporal,0,train,NCT00408070,2006
temporal,0,train,NCT00063154,2003
temporal,0,train,NCT00245102,2005
temporal,0,train,NCT00103194,2005
temporal,0,train,NCT00940342,2004
temporal,0,train,NCT00376961,2006
temporal,0,train,NCT00089635,2004
temporal,0,train,NCT00253370,2005
temporal,0,train,NCT00400569,2006
temporal,0,train,NCT00374868,2006
temporal,0,train,NCT00095680,2004
temporal,0,train,NCT00094835,2005
temporal,0,train,NCT00134082,2005
temporal,0,train,NCT00408603,2006
temporal,0,train,NCT00130442,2005
temporal,0,train,NCT00003631,1998
temporal,0,train,NCT00495170,2006
temporal,0,train,NCT00364286,2006
temporal,0,train,NCT00510653,2002
temporal,0,train,NCT00002601,1994
temporal,0,validation,NCT01286077,2009
temporal,0,validation,NCT00923936,2009
temporal,0,validation,NCT00679367,2008
temporal,0,validation,NCT01093586,2007
temporal,0,validation,NCT00859937,2009
temporal,0,validation,NCT00577122,2007
temporal,0,validation,NCT00767819,2008
temporal,0,validation,NCT00712881,2008
temporal,0,validation,NCT00859222,2009
temporal,0,validation,NCT00744900,2008
temporal,0,validation,NCT01053949,2009
temporal,0,validation,NCT00460109,2008
temporal,0,validation,NCT00723099,2008
temporal,0,validation,NCT00578864,2007
temporal,0,validation,NCT00691301,2008
temporal,0,validation,NCT00598507,2007
temporal,0,validation,NCT00731211,2008
temporal,0,validation,NCT00372775,2007
temporal,0,validation,NCT00403403,2007
temporal,0,validation,NCT00679783,2008
temporal,0,validation,NCT00667394,2008
temporal,0,validation,NCT00948922,2009
temporal,0,validation,NCT00968253,2009
temporal,0,validation,NCT00881296,2008
temporal,0,validation,NCT00687297,2008
temporal,0,validation,NCT00567359,2007
temporal,0,validation,NCT01004003,2009
temporal,0,validation,NCT01088529,2009
temporal,0,validation,NCT00720356,2009
temporal,0,validation,NCT00439231,2007
temporal,0,validation,NCT00787761,2007
temporal,0,validation,NCT00520403,2007
temporal,0,validation,NCT00602771,2008
temporal,0,validation,NCT00436644,2007
temporal,0,validation,NCT00550771,2007
temporal,0,validation,NCT00409006,2007
temporal,0,validation,NCT00867321,2009
temporal,0,validation,NCT00463060,2007
temporal,0,validation,NCT00942825,2009
temporal,0,validation,NCT00921115,2009
temporal,0,validation,NCT00742625,2008
temporal,0,validation,NCT00847015,2009
temporal,0,validation,NCT00459108,2007
temporal,0,validation,NCT00790855,2008
temporal,0,validation,NCT00885755,2009
temporal,0,validation,NCT00924326,2009
temporal,0,validation,NCT00824746,2009
temporal,0,validation,NCT00796549,2008
temporal,0,validation,NCT01095094,2009
temporal,0,validation,NCT00813293,2009
temporal,0,validation,NCT00661193,2008
temporal,0,validation,NCT00537381,2007
temporal,0,validation,NCT00775593,2008
temporal,0,validation,NCT00459875,2007
temporal,0,validation,NCT00432172,2007
temporal,0,validation,NCT00633594,2008
temporal,0,validation,NCT00826241,2009
temporal,0,validation,NCT00517595,2007
temporal,0,validation,NCT00875667,2009
temporal,0,validation,NCT00778830,2009
temporal,0,validation,NCT00372619,2007
temporal,0,validation,NCT00887575,2009
temporal,0,validation,NCT00900757,2009
temporal,0,validation,NCT00711828,2008
temporal,0,validation,NCT00545792,2007
temporal,0,validation,NCT01203267,2007
temporal,0,validation,NCT00737243,2008
temporal,0,validation,NCT00862784,2009
temporal,0,validation,NCT00815308,2009
temporal,0,validation,NCT01698879,2009
temporal,0,validation,NCT00959647,2009
temporal,0,validation,NCT01004250,2009
temporal,0,validation,NCT00986674,2009
temporal,0,validation,NCT00881751,2009
temporal,0,validation,NCT00800839,2008
temporal,0,validation,NCT00517829,2007
temporal,0,validation,NCT00537095,2007
temporal,0,validation,NCT00532129,2007
temporal,0,validation,NCT00553202,2008
temporal,0,validation,NCT00709761,2008
temporal,0,validation,NCT00378703,2007
temporal,0,validation,NCT00821327,2008
temporal,0,validation,NCT00516841,2007
temporal,0,validation,NCT00861913,2009
temporal,0,validation,NCT00462423,2007
temporal,0,validation,NCT00705250,2008
temporal,0,validation,NCT00905060,2009
temporal,0,validation,NCT00439517,2007
temporal,0,validation,NCT00599313,2007
temporal,0,validation,NCT00617409,2007
temporal,0,validation,NCT01020006,2009
temporal,0,validation,NCT00867087,2009
temporal,0,validation,NCT00551460,2007
temporal,0,validation,NCT00992225,2009
temporal,0,validation,NCT00550615,2007
temporal,0,validation,NCT00814788,2008
temporal,0,validation,NCT00580333,2007
temporal,0,validation,NCT00866047,2009
temporal,0,validation,NCT00796978,2009
temporal,0,validation,NCT00436566,2007
temporal,0,validation,NCT00727441,2008
temporal,0,validation,NCT01016769,2009
temporal,0,validation,NCT00911859,2009
temporal,0,validation,NCT00465179,2007
temporal,0,validation,NCT00558896,2007
temporal,0,validation,NCT00879359,2007
temporal,0,validation,NCT00864032,2009
temporal,0,validation,NCT00383149,2007
temporal,0,validation,NCT00529763,2007
temporal,0,validation,NCT00470704,2007
temporal,0,validation,NCT00520936,2007
temporal,0,validation,NCT00821886,2009
temporal,0,validation,NCT00798720,2008
temporal,0,validation,NCT00784303,2008
temporal,0,validation,NCT00820170,2009
temporal,0,validation,NCT00741260,2008
temporal,0,validation,NCT00612586,2008
temporal,0,validation,NCT00632359,2008
temporal,0,validation,NCT00700882,2009
temporal,0,validation,NCT00794950,2009
temporal,0,validation,NCT00642018,2008
temporal,0,validation,NCT00699491,2008
temporal,0,validation,NCT00652366,2008
temporal,0,validation,NCT00281957,2007
temporal,0,validation,NCT00535873,2007
temporal,0,validation,NCT01246557,2009
temporal,0,validation,NCT00710970,2007
temporal,0,validation,NCT00952731,2009
temporal,0,validation,NCT00454805,2007
temporal,0,validation,NCT00717756,2009
temporal,0,validation,NCT00822120,2009
temporal,0,validation,NCT00467142,2007
temporal,0,validation,NCT00788957,2008
temporal,0,validation,NCT00942877,2009
temporal,0,validation,NCT01027910,2009
temporal,0,validation,NCT00410813,2007
temporal,0,validation,NCT00439270,2007
temporal,0,validation,NCT00534417,2007
temporal,0,validation,NCT00900627,2009
temporal,0,validation,NCT00599170,2008
temporal,0,validation,NCT00679341,2008
temporal,1,train,NCT00108953,2005
temporal,1,train,NCT01286077,2009
temporal,1,train,NCT00111839,2005
temporal,1,train,NCT00176605,2005
temporal,1,train,NCT00611351,2005
temporal,1,train,NCT00923936,2009
temporal,1,train,NCT02006667,2001
temporal,1,train,NCT00679367,2008
temporal,1,train,NCT00301964,2006
temporal,1,train,NCT01093586,2007
temporal,1,train,NCT00399529,2006
temporal,1,train,NCT00859937,2009
temporal,1,train,NCT00335829,2006
temporal,1,train,NCT00494481,2006
temporal,1,train,NCT00577122,2007
temporal,1,train,NCT00767819,2008
temporal,1,train,NCT00712881,2008
temporal,1,train,NCT00859222,2009
temporal,1,train,NCT00126672,2005
temporal,1,train,NCT00216203,2005
temporal,1,train,NCT00361231,2006
temporal,1,train,NCT00287872,2004
temporal,1,train,NCT00744900,2008
temporal,1,train,NCT01053949,2009
temporal,1,train,NCT01135498,2006
temporal,1,train,NCT00460109,2008
temporal,1,train,NCT00723099,2008
temporal,1,train,NCT00089999,2004
temporal,1,train,NCT00578864,2007
temporal,1,train,NCT00071006,2003
temporal,1,train,NCT00103207,2005
temporal,1,train,NCT00305877,2006
temporal,1,train,NCT01996332,2004
temporal,1,train,NCT00166439,2005
temporal,1,train,NCT00691301,2008
temporal,1,train,NCT00598507,2007
temporal,1,train,NCT00390611,2006
temporal,1,train,NCT00409565,2006
temporal,1,train,NCT00731211,2008
temporal,1,train,NCT00004092,1999
temporal,1,train,NCT00586495,2005
temporal,1,train,NCT00039195,2006
temporal,1,train,NCT00372775,2007
temporal,1,train,NCT00515411,2006
temporal,1,train,NCT00271609,2005
temporal,1,train,NCT00371254,2006
temporal,1,train,NCT00403403,2007
temporal,1,train,NCT00679783,2008
temporal,1,train,NCT00667394,2008
temporal,1,train,NCT00085566,2004
temporal,1,train,NCT00948922,2009
temporal,1,train,NCT00968253,2009
temporal,1,train,NCT00119262,2005
temporal,1,train,NCT00672594,2006
temporal,1,train,NCT00182689,2005
temporal,1,train,NCT00313560,2006
temporal,1,train,NCT00360360,2006
temporal,1,train,NCT00161213,2005
temporal,1,train,NCT00137423,2005
temporal,1,train,NCT00881296,2008
temporal,1,train,NCT00345540,2006
temporal,1,train,NCT00387959,2006
temporal,1,train,NCT00267696,2005
temporal,1,train,NCT00687297,2008
temporal,1,train,NCT00567359,2007
temporal,1,train,NCT00774046,2002
temporal,1,train,NCT01004003,2009
temporal,1,train,NCT01088529,2009
temporal,1,train,NCT00185588,2004
temporal,1,train,NCT00720356,2009
temporal,1,train,NCT00439231,2007
temporal,1,train,NCT00787761,2007
temporal,1,train,NCT00859469,2004
temporal,1,train,NCT00271505,2005
temporal,1,train,NCT00520403,2007
temporal,1,train,NCT00004888,2001
temporal,1,train,NCT00216021,2004
temporal,1,train,NCT00602771,2008
temporal,1,train,NCT00269152,2005
temporal,1,train,NCT00436644,2007
temporal,1,train,NCT02280252,2005
temporal,1,train,NCT00550771,2007
temporal,1,train,NCT00409006,2007
temporal,1,train,NCT00867321,2009
temporal,1,train,NCT00562978,2000
temporal,1,train,NCT00444678,2004
temporal,1,train,NCT00463060,2007
temporal,1,train,NCT00942825,2009
temporal,1,train,NCT00368355,2000
temporal,1,train,NCT00921115,2009
temporal,1,train,NCT00742625,2008
temporal,1,train,NCT00847015,2009
temporal,1,train,NCT00459108,2007
temporal,1,train,NCT00118144,2005
temporal,1,train,NCT00238121,2005
temporal,1,train,NCT00790855,2008
temporal,1,train,NCT00579826,2006
temporal,1,train,NCT00885755,2009
temporal,1,train,NCT00924326,2009
temporal,1,train,NCT00824746,2009
temporal,1,train,NCT00499343,2004
temporal,1,train,NCT00796549,2008
temporal,1,train,NCT00438880,2004
temporal,1,train,NCT01095094,2009
temporal,1,train,NCT00813293,2009
temporal,1,train,NCT00661193,2008
temporal,1,train,NCT00039130,2002
temporal,1,train,NCT00537381,2007
temporal,1,train,NCT00775593,2008
temporal,1,train,NCT00117351,2005
temporal,1,train,NCT00459875,2007
temporal,1,train,NCT00309842,2005
temporal,1,train,NCT00057837,2004
temporal,1,train,NCT00427557,2006
temporal,1,train,NCT00323869,2006
temporal,1,train,NCT00432172,2007
temporal,1,train,NCT00890656,2003
temporal,1,train,NCT00066677,2003
temporal,1,train,NCT00633594,2008
temporal,1,train,NCT00398086,2006
temporal,1,train,NCT00129376,2003
temporal,1,train,NCT00826241,2009
temporal,1,train,NCT00517595,2007
temporal,1,train,NCT00219557,2005
temporal,1,train,NCT00875667,2009
temporal,1,train,NCT00473512,2005
temporal,1,train,NCT00369681,2006
temporal,1,train,NCT00778830,2009
temporal,1,train,NCT00372619,2007
temporal,1,train,NCT00411671,2006
temporal,1,train,NCT00887575,2009
temporal,1,train,NCT00900757,2009
temporal,1,train,NCT00124657,2005
temporal,1,train,NCT00711828,2008
temporal,1,train,NCT00113230,2005
temporal,1,train,NCT00545792,2007
temporal,1,train,NCT01203267,2007
temporal,1,train,NCT00493467,2006
temporal,1,train,NCT01131078,2005
temporal,1,train,NCT00468585,2005
temporal,1,train,NCT00737243,2008
temporal,1,train,NCT00201240,2005
temporal,1,train,NCT00862784,2009
temporal,1,train,NCT00457743,2005
temporal,1,train,NCT00815308,2009
temporal,1,train,NCT00244985,2005
temporal,1,train,NCT00288015,2005
temporal,1,train,NCT01698879,2009
temporal,1,train,NCT00959647,2009
temporal,1,train,NCT01004250,2009
temporal,1,train,NCT00986674,2009
temporal,1,train,NCT00038610,2001
temporal,1,train,NCT00881751,2009
temporal,1,train,NCT00800839,2008
temporal,1,train,NCT00517829,2007
temporal,1,train,NCT00537095,2007
temporal,1,train,NCT01534637,2006
temporal,1,train,NCT00532129,2007
temporal,1,train,NCT00553202,2008
temporal,1,train,NCT00515073,2001
temporal,1,train,NCT00709761,2008
temporal,1,train,NCT00378703,2007
temporal,1,train,NCT00821327,2008
temporal,1,train,NCT00179673,2005
temporal,1,train,NCT00516841,2007
temporal,1,train,NCT00112827,2004
temporal,1,train,NCT00081861,2004
temporal,1,train,NCT00318370,2006
temporal,1,train,NCT00284154,2006
temporal,1,train,NCT00861913,2009
temporal,1,train,NCT00462423,2007
temporal,1,train,NCT00068380,2004
temporal,1,train,NCT00705250,2008
temporal,1,train,NCT00905060,2009
temporal,1,train,NCT00112489,2005
temporal,1,train,NCT00439517,2007
temporal,1,train,NCT00096018,2002
temporal,1,train,NCT00599313,2007
temporal,1,train,NCT00617409,2007
temporal,1,train,NCT01020006,2009
temporal,1,train,NCT00867087,2009
temporal,1,train,NCT00332163,2006
temporal,1,train,NCT00179309,2005
temporal,1,train,NCT00114140,2005
temporal,1,train,NCT00551460,2007
temporal,1,train,NCT00992225,2009
temporal,1,train,NCT00550615,2007
temporal,1,train,NCT00047879,2002
temporal,1,train,NCT00344773,2006
temporal,1,train,NCT00814788,2008
temporal,1,train,NCT00580333,2007
temporal,1,train,NCT00866047,2009
temporal,1,train,NCT00357149,2003
temporal,1,train,NCT00796978,2009
temporal,1,train,NCT00412243,2006
temporal,1,train,NCT00436566,2007
temporal,1,train,NCT00324870,2006
temporal,1,train,NCT00727441,2008
temporal,1,train,NCT00096941,2005
temporal,1,train,NCT01016769,2009
temporal,1,train,NCT00483405,2006
temporal,1,train,NCT00911859,2009
temporal,1,train,NCT00465179,2007
temporal,1,train,NCT00512096,1999
temporal,1,train,NCT00125359,2005
temporal,1,train,NCT00558896,2007
temporal,1,train,NCT00879359,2007
temporal,1,train,NCT00864032,2009
temporal,1,train,NCT00469898,2003
temporal,1,train,NCT00381706,2006
temporal,1,train,NCT00234052,2005
temporal,1,train,NCT00383149,2007
temporal,1,train,NCT00193609,2004
temporal,1,train,NCT00529763,2007
temporal,1,train,NCT00612716,1999
temporal,1,train,NCT00470704,2007
temporal,1,train,NCT00520936,2007
temporal,1,train,NCT00423293,2006
temporal,1,train,NCT00524121,2006
temporal,1,train,NCT00413283,2006
temporal,1,train,NCT00023673,2001
temporal,1,train,NCT00432094,2006
temporal,1,train,NCT00821886,2009
temporal,1,train,NCT00072566,2003
temporal,1,train,NCT00798720,2008
temporal,1,train,NCT00784303,2008
temporal,1,train,NCT00062010,2004
temporal,1,train,NCT00242762,2003
temporal,1,train,NCT00003270,1997
temporal,1,train,NCT00820170,2009
temporal,1,train,NCT00045110,2002
temporal,1,train,NCT00741260,2008
temporal,1,train,NCT00258362,2005
temporal,1,train,NCT00612586,2008
temporal,1,train,NCT00305682,2005
temporal,1,train,NCT00632359,2008
temporal,1,train,NCT00473746,2006
temporal,1,train,NCT00700882,2009
temporal,1,train,NCT00126503,2005
temporal,1,train,NCT00794950,2009
temporal,1,train,NCT00642018,2008
temporal,1,train,NCT00243191,2006
temporal,1,train,NCT00183885,2004
temporal,1,train,NCT00699491,2008
temporal,1,train,NCT00652366,2008
temporal,1,train,NCT00058422,2003
temporal,1,train,NCT00281957,2007
temporal,1,train,NCT00535873,2007
temporal,1,train,NCT00346645,2006
temporal,1,train,NCT01246557,2009
temporal,1,train,NCT00314262,2006
temporal,1,train,NCT00710970,2007
temporal,1,train,NCT00408070,2006
temporal,1,train,NCT00952731,2009
temporal,1,train,NCT00454805,2007
temporal,1,train,NCT00717756,2009
temporal,1,train,NCT00822120,2009
temporal,1,train,NCT00063154,2003
temporal,1,train,NCT00245102,2005
temporal,1,train,NCT00467142,2007
temporal,1,train,NCT00103194,2005
temporal,1,train,NCT00788957,2008
temporal,1,train,NCT00940342,2004
temporal,1,train,NCT00942877,2009
temporal,1,train,NCT00376961,2006
temporal,1,train,NCT00089635,2004
temporal,1,train,NCT01027910,2009
temporal,1,train,NCT00253370,2005
temporal,1,train,NCT00410813,2007
temporal,1,train,NCT00439270,2007
temporal,1,train,NCT00400569,2006
temporal,1,train,NCT00374868,2006
temporal,1,train,NCT00095680,2004
temporal,1,train,NCT00094835,2005
temporal,1,train,NCT00534417,2007
temporal,1,train,NCT00134082,2005
temporal,1,train,NCT00900627,2009
temporal,1,train,NCT00408603,2006
temporal,1,train,NCT00130442,2005
temporal,1,train,NCT00003631,1998
temporal,1,train,NCT00599170,2008
temporal,1,train,NCT00495170,2006
temporal,1,train,NCT00679341,2008
temporal,1,train,NCT00364286,2006
temporal,1,train,NCT00510653,2002
temporal,1,train,NCT00002601,1994
temporal,1,validation,NCT01051557,2010
temporal,1,validation,NCT01274351,2011
temporal,1,validation,NCT01087970,2010
temporal,1,validation,NCT01350245,2010
temporal,1,validation,NCT00940316,2010
temporal,1,validation,NCT01058655,2010
temporal,1,validation,NCT01146795,2010
temporal,1,validation,NCT01660711,2012
temporal,1,validation,NCT01532687,2012
temporal,1,validation,NCT01126736,2010
temporal,1,validation,NCT01462695,2012
temporal,1,validation,NCT01750281,2012
temporal,1,validation,NCT01611259,2012
temporal,1,validation,NCT01418742,2011
temporal,1,validation,NCT01057589,2010
temporal,1,validation,NCT01492088,2012
temporal,1,validation,NCT01262820,2010
temporal,1,validation,NCT01664182,2012
temporal,1,validation,NCT00669162,2012
temporal,1,validation,NCT02597322,2012
temporal,1,validation,NCT01211483,2010
temporal,1,validation,NCT01014351,2010
temporal,1,validation,NCT01216683,2011
temporal,1,validation,NCT01256398,2010
temporal,1,validation,NCT01174238,2010
temporal,1,validation,NCT01136733,2010
temporal,1,validation,NCT01505413,2011
temporal,1,validation,NCT01305213,2011
temporal,1,validation,NCT01451515,2012
temporal,1,validation,NCT01646125,2012
temporal,1,validation,NCT01264705,2011
temporal,1,validation,NCT01348919,2011
temporal,1,validation,NCT01133665,2010
temporal,1,validation,NCT01310036,2011
temporal,1,validation,NCT01124734,2010
temporal,1,validation,NCT01246986,2011
temporal,1,validation,NCT01332266,2011
temporal,1,validation,NCT01340430,2011
temporal,1,validation,NCT01091428,2010
temporal,1,validation,NCT01397825,2011
temporal,1,validation,NCT01232452,2011
temporal,1,validation,NCT01111825,2010
temporal,1,validation,NCT01313078,2010
temporal,1,validation,NCT01763710,2012
temporal,1,validation,NCT01045460,2010
temporal,1,validation,NCT01298570,2011
temporal,1,validation,NCT00329641,2011
temporal,1,validation,NCT01633541,2012
temporal,1,validation,NCT01108341,2010
temporal,1,validation,NCT01256359,2010
temporal,1,validation,NCT01421017,2011
temporal,1,validation,NCT01498289,2012
temporal,1,validation,NCT01165021,2010
temporal,1,validation,NCT01460940,2011
temporal,1,validation,NCT01530997,2012
temporal,1,validation,NCT01554397,2011
temporal,1,validation,NCT01470248,2011
temporal,1,validation,NCT00994123,2010
temporal,1,validation,NCT01114555,2010
temporal,1,validation,NCT01373294,2011
temporal,1,validation,NCT01458366,2011
temporal,1,validation,NCT01621880,2012
temporal,1,validation,NCT01665768,2012
temporal,1,validation,NCT01423604,2011
temporal,1,validation,NCT01431209,2011
temporal,1,validation,NCT01427933,2011
temporal,1,validation,NCT01325428,2011
temporal,1,validation,NCT00828009,2011
temporal,1,validation,NCT01207492,2010
temporal,1,validation,NCT01468532,2011
temporal,1,validation,NCT01388647,2011
temporal,1,validation,NCT01118026,2010
temporal,1,validation,NCT01643668,2012
temporal,1,validation,NCT01351623,2011
temporal,1,validation,NCT01449279,2011
temporal,1,validation,NCT01593254,2012
temporal,1,validation,NCT01495247,2012
temporal,1,validation,NCT01248962,2010
temporal,1,validation,NCT01074970,2010
temporal,1,validation,NCT01671319,2011
temporal,1,validation,NCT01091103,2010
temporal,1,validation,NCT01701986,2012
temporal,1,validation,NCT01250119,2011
temporal,1,validation,NCT01535924,2012
temporal,1,validation,NCT01111461,2010
temporal,1,validation,NCT01068769,2010
temporal,1,validation,NCT01279694,2010
temporal,1,validation,NCT01593020,2012
temporal,1,validation,NCT01076231,2010
temporal,1,validation,NCT01469546,2012
temporal,1,validation,NCT01125176,2012
temporal,1,validation,NCT01138046,2010
temporal,1,validation,NCT01057017,2010
temporal,1,validation,NCT01051570,2010
temporal,1,validation,NCT01083641,2010
temporal,1,validation,NCT01197560,2010
temporal,1,validation,NCT01576588,2011
temporal,1,validation,NCT01776307,2012
temporal,2,train,NCT00108953,2005
temporal,2,train,NCT01286077,2009
temporal,2,train,NCT01051557,2010
temporal,2,train,NCT00111839,2005
temporal,2,train,NCT01274351,2011
temporal,2,train,NCT00176605,2005
temporal,2,train,NCT00611351,2005
temporal,2,train,NCT00923936,2009
temporal,2,train,NCT02006667,2001
temporal,2,train,NCT00679367,2008
temporal,2,train,NCT00301964,2006
temporal,2,train,NCT01093586,2007
temporal,2,train,NCT00399529,2006
temporal,2,train,NCT00859937,2009
temporal,2,train,NCT01087970,2010
temporal,2,train,NCT00335829,2006
temporal,2,train,NCT00494481,2006
temporal,2,train,NCT00577122,2007
temporal,2,train,NCT00767819,2008
temporal,2,train,NCT00712881,2008
temporal,2,train,NCT00859222,2009
temporal,2,train,NCT00126672,2005
temporal,2,train,NCT00216203,2005
temporal,2,train,NCT00361231,2006
temporal,2,train,NCT00287872,2004
temporal,2,train,NCT01350245,2010
temporal,2,train,NCT00744900,2008
temporal,2,train,NCT00940316,2010
temporal,2,train,NCT01053949,2009
temporal,2,train,NCT01135498,2006
temporal,2,train,NCT01058655,2010
temporal,2,train,NCT01146795,2010
temporal,2,train,NCT00460109,2008
temporal,2,train,NCT00723099,2008
temporal,2,train,NCT01660711,2012
temporal,2,train,NCT00089999,2004
temporal,2,train,NCT00578864,2007
temporal,2,train,NCT00071006,2003
temporal,2,train,NCT00103207,2005
temporal,2,train,NCT00305877,2006
temporal,2,train,NCT01996332,2004
temporal,2,train,NCT01532687,2012
temporal,2,train,NCT00166439,2005
temporal,2,train,NCT00691301,2008
temporal,2,train,NCT00598507,2007
temporal,2,train,NCT01126736,2010
temporal,2,train,NCT00390611,2006
temporal,2,train,NCT00409565,2006
temporal,2,train,NCT00731211,2008
temporal,2,train,NCT01462695,2012
temporal,2,train,NCT01750281,2012
temporal,2,train,NCT00004092,1999
temporal,2,train,NCT00586495,2005
temporal,2,train,NCT00039195,2006
temporal,2,train,NCT00372775,2007
temporal,2,train,NCT00515411,2006
temporal,2,train,NCT00271609,2005
temporal,2,train,NCT01611259,2012
temporal,2,train,NCT00371254,2006
temporal,2,train,NCT01418742,2011
temporal,2,train,NCT01057589,2010
temporal,2,train,NCT00403403,2007
temporal,2,train,NCT01492088,2012
temporal,2,train,NCT00679783,2008
temporal,2,train,NCT00667394,2008
temporal,2,train,NCT00085566,2004
temporal,2,train,NCT00948922,2009
temporal,2,train,NCT00968253,2009
temporal,2,train,NCT00119262,2005
temporal,2,train,NCT00672594,2006
temporal,2,train,NCT00182689,2005
temporal,2,train,NCT00313560,2006
temporal,2,train,NCT00360360,2006
temporal,2,train,NCT00161213,2005
temporal,2,train,NCT00137423,2005
temporal,2,train,NCT01262820,2010
temporal,2,train,NCT00881296,2008
temporal,2,train,NCT00345540,2006
temporal,2,train,NCT01664182,2012
temporal,2,train,NCT00669162,2012
temporal,2,train,NCT00387959,2006
temporal,2,train,NCT00267696,2005
temporal,2,train,NCT00687297,2008
temporal,2,train,NCT00567359,2007
temporal,2,train,NCT00774046,2002
temporal,2,train,NCT01004003,2009
temporal,2,train,NCT02597322,2012
temporal,2,train,NCT01088529,2009
temporal,2,train,NCT00185588,2004
temporal,2,train,NCT01211483,2010
temporal,2,train,NCT01014351,2010
temporal,2,train,NCT00720356,2009
